개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
학익2동 행정복지센터 회의실,학익2동 행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 한나루로 444,인천광역시 미추홀구 학익동 4-16,인천광역시 미추홀구청,학익2동행정복지센터,032-728-6264,https://www.michuhol.go.kr/dongoffice/main.do?dept_sq=314,37.44658154,126.6674738,2025-11-01
도화1동 행정복지센터 다목적실,도화1동 행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 경인로 295,인천광역시 미추홀구 도화동 391-11,인천광역시 미추홀구청,도화1동 행정복지센터,032-728-6281,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=15,37.46090745,126.673829,2025-11-01
도화2.3동주민센터 회의실,도화2.3동주민센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,책상+의자,방문+전화,,인천광역시 미추홀구 장고개로 29-1,인천광역시 미추홀구 도화동 1011-1,인천광역시 미추홀구청,도화2.3동주민센터,032-728-6303,https://www.michuhol.go.kr/dongoffice/main.do?dept_sq=295,37.47092258,126.6661438,2025-11-01
주안1동행정복지센터 다목적실,주안1동행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,0,20,90,회의용책상+의자,방문+전화,,인천광역시 미추홀구 주안서로53번길 22,인천광역시 미추홀구 주안동 266-1,인천광역시 미추홀구청,주안1동행정복지센터,032-728-6321,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=39,37.46379112,126.676580,2025-11-01
주안2동행정복지센터 다목적실,주안2동행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,30,66,회의용책상+의자,방문+전화,,인천광역시 미추홀구 남주길43번길 14-29,인천광역시 미추홀구 주안동 594-4,인천광역시 미추홀구청,주안2동행정복지센터,032-728-6343,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=40,37.45469924,126.6727245,2025-11-01
주안3동행정복지센터 회의실,주안3동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,0,100,200,회의용책상+의자,방문+전화,,인천광역시 미추홀구 인하로 212,인천광역시 미추홀구 주안동 1663,인천광역시 미추홀구청,주안3동행정복지센터,032-728-6361,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=41,37.44831934,126.6715751,2025-11-01
주안4동행정복지센터 다목적실,주안4동행정복지센터,다목적실,토+일+공휴일,09:00,21:00,00:00,00:00,N,1,0,1,,40,165,회의용책상+의자,방문+전화,,인천광역시 미추홀구 구월남로 5,인천광역시 미추홀구 주안동 1552-16,인천광역시 미추홀구청,주안4동행정복지센터,032-728-6386,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=42,37.45512738,126.6903025,2025-11-01
주안5동행정복지센터 회의실,주안5동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 석정로 461번길 21,인천광역시 미추홀구 주안동 1634,인천광역시 미추홀구청,주안5동행정복지센터,032-728-6405,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=43,37.46704508,126.6864004,2025-11-01
주안6동행정복지센터 다목적실,주안6동행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,,1,,30,164,회의용책상+의자,방문+전화,,인천광역시 미추홀구 경원대로864번길 59,인천광역시 미추홀구 주안동 1616,인천광역시 미추홀구청,주안6동행정복지센터,032-728-6424,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=44,37.46127832,126.692311,2025-11-01
주안7동행정복지센터 다목적실,주안7동행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,40,130,회의용책상+의자,방문+전화,,인천광역시 미추홀구 인하로 265,인천광역시 미추홀구 주안동 1437-5,인천광역시 미추홀구청,주안7동행정복지센터,032-728-6443,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=45,37.44844518,126.6776513,2025-11-01
주안8동행정복지센터 회의실,주안8동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 인주대로470번길 24,인천광역시 미추홀구 주안동 1530,인천광역시 미추홀구청,주안8동주민센터,032-728-6461,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=46,37.44956626,126.6893094,2025-11-01
관교동주민센터 회의실,관교동주민센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,0,,0,,,,방문+전화,,인천광역시 미추홀구 인하로 452,인천광역시 미추홀구 관교동 13-1,인천광역시 미추홀구청,관교동주민센터,032-728-6483,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=6,37.44417922,126.6968093,2025-11-01
관교동주민센터 다목적실,관교동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,0,,0,,,,방문+전화,,인천광역시 미추홀구 인하로 452,인천광역시 미추홀구 관교동 13-1,인천광역시 미추홀구청,관교동주민센터,032-728-6483,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=6,37.44417922,126.6968093,2025-11-01
문학동행정복지센터 회의실,문학동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,30,112,회의용책상+의자,방문+전화,,인천광역시 미추홀구 소성로 339,인천광역시 미추홀구 문학동 385-6,인천광역시 미추홀구청,문학동행정복지센터,032-728-6501,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=18,37.43768495,126.6850043,2025-11-01
